xpos,ypos,xvel,yvel
-8.7026,0.09921,-0.44137,-0.12721
-14.645,-4.2191,61.93,-7.781
-12.643,-1.3975,16.734,-21.45
-6.87,-5.1549,3.0934,-16.07
-5.9117,-13.136,2.2029,-39.088
2.6011,2.095,45.458,141.4
35.335,39.421,349.06,354.15
75.089,55.363,401.98,120.06
94.31,44.29,211.6,-80.369
94.002,26.379,94.965,-97.642
11.183,-0.45833,-28.775,-53.661
-1.4903,-12.473,10.761,-125.23
-1.9974,-24.591,10.502,-124.62
-12.294,-25.928,-72.462,-14.379
-16.274,-16.373,-44.256,68.983
-10.111,-5.0093,54.965,26.897
-14.581,-2.1158,19.392,-31.904
-11.546,-3.3,24.234,-7.5399
2.6484,-4.0394,112.25,-9.8012
9.4938,-0.3076,102.54,32.474
0.68042,1.6257,-55.78,32.227
-7.165,3.9725,-36.303,9.0386
-12.266,-3.1374,-16.325,-54.429
-14.747,-14.073,-4.0595,-67.642
-8.9866,-16.781,60.554,-3.2658
-29.465,-17.31,-205.23,8.159
-82.932,-21.153,-550.67,-97.287
-114.87,-29.115,-248.02,-88.631
-112.25,-24.739,1.2241,-12.406
-17.598,-4.3988,34.648,-13.963
-5.3125,-6.3104,1.6278,-47.229
-2.4524,-3.426,31.569,23.128
1.3387,-3.7915,29.298,13.547
-6.3073,-3.4612,-42.1,-5.4385
-14.326,-4.3163,-63.726,2.4616
-25.005,-0.56214,-41.42,27.448
-32.965,5.0213,-22.297,51.041
-29.373,1.1261,19.09,-0.78019
-16.499,-6.4253,49.603,-58.752
-8.3187,-9.8899,15.679,-13.409
2.7091,-9.6968,77.17,4.6778
0.81602,-10.703,-5.3918,-31.67
2.5619,-15.909,35.463,-42.073
7.5149,-19.876,56.55,-20.936
10.102,-21.39,92.001,-8.1114
14.665,-23.443,99.621,-25.625
14.898,-14.921,72.019,14.741
37.773,1.0494,316.36,66.786
75.963,-3.0154,377.01,-97.666
77.15,-14.031,63.689,-105.73
73.644,-12.242,20.666,45.912
3.669,1.523,-33.248,23.765
-8.6603,1.2323,-26.449,-29.023
-7.3179,-3.5978,34.207,-65.784
-8.1721,-14.393,-6.2694,-70.433
-7.2329,-4.7541,-11.9,89.981
-0.15887,14.106,92.158,117.51
